VAL   51.91   -10.36
i111   52.897616444444445    -7.953125388888889
i114   53.494951694444445    -8.383108
i201   52.73267127777778    -7.294419333333333
i203   53.87059875    -7.962747722222223
I101   54.15680694444444    -8.108888638888889
I102   54.05974961111111    -7.9405279166666665
I103   53.92913819444444    -8.025221833333335
I104   53.725029    -7.885889055555555
I105   53.68005752777778    -7.8026938333333336
I107   53.358554833333336    -7.600749972222222
I108   53.25055694444445    -7.5796389444444445
I110   52.94097136111111    -7.460194111111111
I001   52.795555111111106    -9.341667166666667
I002   52.580554972222224    -9.106389055555555
I003   52.393054972222224    -9.017778388888889
I004   52.204444888888894    -8.831945416666667
I005   52.00027847222222    -8.750556
I006   52.990276333333334    -8.985833166666666
I007   52.78277969444444    -8.779999722222223
I009   52.378055583333335    -8.585277555555557
I010   52.143054972222224    -8.415833472222223
I013   52.56333161111111    -8.19916725
I014   52.31138991666666    -8.042222027777777
I025   53.52055741666666    -7.686944972222222
I026   53.163333888888886    -7.553888805555555
I027   52.85083388888889    -7.358889111111111
SW01   53.67523    -7.05107
SW02   53.87865    -9.05619
SW03   53.4209    -9.3684
SW04   54.15784    -9.63754
SW06   52.29194    -6.51049
SW07   53.03693    -6.38021
SW08   54.0266    -6.36599
SW09   54.79413    -5.81666
SW10   55.15201    -6.262
SW11   55.19421    -7.40168
SW12   54.25254    -7.79662
SW13   55.0572    -7.94313
SW14   54.36398    -6.30476
SW15   54.60369    -6.92889
SW16   54.762178    -7.866715
SW17   52.4248    -9.6221
SW18   52.1986    -9.2951
SW19   51.6415    -8.9908
SW20   53.3872    -6.33979
SW21   52.6187    -9.72339
SW22   52.7161    -9.53306

